Camera ID,Event,Date,Time
1,Abnormal,Saturday/2020-11-07,17:54:32
1,Abnormal,Saturday/2020-11-07,18:03:12
1,Abnormal,Saturday/2020-11-07,18:12:52
1,Abnormal,Saturday/2020-11-07,18:40:12
1,Abnormal,Saturday/2020-11-07,18:40:16
1,Abnormal,Saturday/2020-11-07,18:40:20
1,Abnormal,Saturday/2020-11-07,18:40:24
1,Abnormal,Saturday/2020-11-07,18:40:28
2,Abnormal,Saturday/2020-11-07,18:41:11
1,Abnormal,Saturday/2020-11-07,19:30:00
2,Abnormal,Saturday/2020-11-07,19:30:04
2,Abnormal,Saturday/2020-11-07,19:30:08
2,Abnormal,Saturday/2020-11-07,19:30:12
2,Abnormal,Saturday/2020-11-07,19:30:16
2,Abnormal,Saturday/2020-11-07,19:30:20
1,Abnormal,Saturday/2020-11-07,19:39:19
2,Abnormal,Saturday/2020-11-07,19:39:22
2,Abnormal,Saturday/2020-11-07,19:39:26
2,Abnormal,Saturday/2020-11-07,19:39:30
2,Abnormal,Saturday/2020-11-07,19:39:34
3,Abnormal,Saturday/2020-11-07,20:13:05
2,Abnormal,Saturday/2020-11-07,20:13:08
3,Abnormal,Saturday/2020-11-07,20:13:11
3,Abnormal,Saturday/2020-11-07,20:13:17
3,Abnormal,Saturday/2020-11-07,20:13:22
3,Abnormal,Saturday/2020-11-07,20:13:27
1,Abnormal,Saturday/2020-11-07,20:13:32
3,Abnormal,Monday/2020-11-09,20:27:47
3,Abnormal,Monday/2020-11-09,20:27:54
2,Abnormal,Monday/2020-11-09,20:27:54
3,Abnormal,Monday/2020-11-09,20:28:02
3,Abnormal,Monday/2020-11-09,20:28:12
3,Abnormal,Monday/2020-11-09,20:28:23
1,Abnormal,Monday/2020-11-09,20:28:25
4,Abnormal,Monday/2020-11-09,20:28:40
6,Abnormal,Monday/2020-11-09,20:28:49
2,Abnormal,Monday/2020-11-09,20:38:40
2,Abnormal,Monday/2020-11-09,20:38:45
2,Abnormal,Monday/2020-11-09,20:38:53
2,Abnormal,Monday/2020-11-09,20:39:01
2,Abnormal,Monday/2020-11-09,20:39:09
3,Abnormal,Monday/2020-11-09,20:39:16
1,Abnormal,Monday/2020-11-09,22:24:24
6,Abnormal,Tuesday/2020-11-10,00:41:45
6,Abnormal,Tuesday/2020-11-10,00:41:50
1,Abnormal,Tuesday/2020-11-10,00:41:51
6,Abnormal,Tuesday/2020-11-10,00:41:55
6,Abnormal,Tuesday/2020-11-10,00:41:59
6,Abnormal,Tuesday/2020-11-10,00:42:03
5,Abnormal,Tuesday/2020-11-10,00:42:19
5,Abnormal,Tuesday/2020-11-10,00:42:26
5,Abnormal,Tuesday/2020-11-10,00:42:35
2,Abnormal,Tuesday/2020-11-10,00:42:35
5,Abnormal,Tuesday/2020-11-10,00:42:44
2,Abnormal,Tuesday/2020-11-10,00:42:44
3,Abnormal,Tuesday/2020-11-10,23:52:07
3,Abnormal,Tuesday/2020-11-10,23:52:10
2,Abnormal,Tuesday/2020-11-10,23:54:27
1,Abnormal,Tuesday/2020-11-10,23:54:30
2,Abnormal,Tuesday/2020-11-10,23:54:34
2,Abnormal,Tuesday/2020-11-10,23:54:41
2,Abnormal,Tuesday/2020-11-10,23:54:50
3,Abnormal,Tuesday/2020-11-10,23:55:01
2,Abnormal,Tuesday/2020-11-10,23:55:02
4,Abnormal,Tuesday/2020-11-10,23:55:22
5,Abnormal,Tuesday/2020-11-10,23:55:32
3,Abnormal,Wednesday/2020-11-11,01:17:01
3,Abnormal,Wednesday/2020-11-11,01:17:14
2,Abnormal,Wednesday/2020-11-11,01:17:14
2,Abnormal,Wednesday/2020-11-11,01:17:22
3,Abnormal,Wednesday/2020-11-11,01:17:36
2,Abnormal,Wednesday/2020-11-11,01:17:42
3,Abnormal,Wednesday/2020-11-11,01:17:59
2,Abnormal,Wednesday/2020-11-11,01:18:09
3,Abnormal,Wednesday/2020-11-11,01:18:26
2,Abnormal,Wednesday/2020-11-11,01:18:31
2,Abnormal,Wednesday/2020-11-11,01:18:43
1,Abnormal,Wednesday/2020-11-11,09:09:50
2,Abnormal,Wednesday/2020-11-11,09:10:14
2,Abnormal,Wednesday/2020-11-11,09:10:22
2,Abnormal,Wednesday/2020-11-11,09:10:28
2,Abnormal,Wednesday/2020-11-11,09:10:34
2,Abnormal,Wednesday/2020-11-11,09:10:40
1,Abnormal,Wednesday/2020-11-11,09:31:55
1,Abnormal,Wednesday/2020-11-11,11:23:24
1,Abnormal,Wednesday/2020-11-11,11:23:29
1,Abnormal,Wednesday/2020-11-11,11:23:34
1,Abnormal,Wednesday/2020-11-11,11:23:38
1,Abnormal,Wednesday/2020-11-11,11:23:43
2,Abnormal,Wednesday/2020-11-11,11:27:28
1,Abnormal,Thursday/2020-11-12,21:47:37
